,1D convo preprocessing with Lstm,Fully convo forecasting,LSTM,Lstm preprocessing with 1d convo,SARIMA
MAPE,10.617561340332031,1.5677541494369507,10.908025741577148,9.975162506103516,0.0
MAE,893.43994140625,124.38446044921875,917.1028442382812,840.819580078125,0.0
MSE,1114602.5,25604.236328125,1160277.125,1013855.875,0.0
MSLE,0.01788233406841755,0.0004221805138513446,0.018695322796702385,0.016107099130749702,0.0
